idx,subsi,account,url,mkt_name,page_type,slide_YN,slide_path,toolbar_YN,toolbar_xpath,click_YN,click_xpath,desc
37,SEAU,OPTUS,https://www.optus.com.au/shop/mobile/phones/samsung/galaxy-note10-plus,n10+_256gb_silver,sp_1,Y,,,,Y,"//*[@id=""main""]/div[1]/div/div[1]/div[2]/div[1]/div/div/a[1],//*[@id=""main""]/div[1]/div/div[1]/div[2]/div[2]/div[1]/div/a[1]","model, color 선택 / data plan이 마우스 드래그로 슬라이드를 넘겨야 다 보임….. 안되면 default 화면만"
38,SEAU,OPTUS,https://www.optus.com.au/shop/mobile/phones/samsung/galaxy-note10-plus,n10+_256gb_black,sp_1,Y,,,,Y,"//*[@id=""main""]/div[1]/div/div[1]/div[2]/div[1]/div/div/a[1],//*[@id=""main""]/div[1]/div/div[1]/div[2]/div[2]/div[1]/div/a[2]","model, color 선택 / data plan이 마우스 드래그로 슬라이드를 넘겨야 다 보임….. 안되면 default 화면만"
39,SEAU,OPTUS,https://www.optus.com.au/shop/mobile/phones/samsung/galaxy-note10-plus,n10+5g_512gb_silver,sp_1,Y,,,,Y,"//*[@id=""main""]/div[1]/div/div[1]/div[2]/div[1]/div/div/a[2],//*[@id=""main""]/div[1]/div/div[1]/div[2]/div[2]/div[1]/div/a[1]","model, color 선택 / data plan이 마우스 드래그로 슬라이드를 넘겨야 다 보임….. 안되면 default 화면만"
40,SEAU,OPTUS,https://www.optus.com.au/shop/mobile/phones/samsung/galaxy-note10-plus,n10+5g_512gb_black,sp_1,Y,,,,Y,"//*[@id=""main""]/div[1]/div/div[1]/div[2]/div[1]/div/div/a[2],//*[@id=""main""]/div[1]/div/div[1]/div[2]/div[2]/div[1]/div/a[2]","model, color 선택 / data plan이 마우스 드래그로 슬라이드를 넘겨야 다 보임….. 안되면 default 화면만"
41,SEAU,OPTUS,https://www.optus.com.au/shop/mobile/phones/iphone/iphone-11,lo11_64gb,sp_1,Y,,,,Y,"//*[@id=""main""]/div[1]/div/div[1]/div[2]/div[1]/div/div/a[1],//*[@id=""main""]/div[1]/div/div[1]/div[2]/div[2]/div[2]/div/a[1]","model, color, capacity, plan month 선택 / data plan이 마우스 드래그로 슬라이드를 넘겨야 다 보임….. 안되면 default 화면만"
42,SEAU,OPTUS,https://www.optus.com.au/shop/mobile/phones/iphone/iphone-11,lo11_128gb,sp_1,Y,,,,Y,"//*[@id=""main""]/div[1]/div/div[1]/div[2]/div[1]/div/div/a[1],//*[@id=""main""]/div[1]/div/div[1]/div[2]/div[2]/div[2]/div/a[2]","model, color, capacity, plan month 선택 / data plan이 마우스 드래그로 슬라이드를 넘겨야 다 보임….. 안되면 default 화면만"
43,SEAU,OPTUS,https://www.optus.com.au/shop/mobile/phones/iphone/iphone-11,lo11_256gb,sp_1,Y,,,,Y,"//*[@id=""main""]/div[1]/div/div[1]/div[2]/div[1]/div/div/a[1],//*[@id=""main""]/div[1]/div/div[1]/div[2]/div[2]/div[2]/div/a[3]","model, color, capacity, plan month 선택 / data plan이 마우스 드래그로 슬라이드를 넘겨야 다 보임….. 안되면 default 화면만"
44,SEAU,OPTUS,https://www.optus.com.au/shop/mobile/phones/iphone/iphone-11,lo11_pro_64gb,sp_1,Y,,,"//*[@id=""main""]/div[1]/div/div[1]/div[2]/div[1]/div/div/a[1]",Y,"//*[@id=""main""]/div[1]/div/div[1]/div[2]/div[1]/div/div/a[2],//*[@id=""main""]/div[1]/div/div[1]/div[2]/div[2]/div[2]/div/a[1]","model, color, capacity, plan month 선택 / data plan이 마우스 드래그로 슬라이드를 넘겨야 다 보임….. 안되면 default 화면만"
45,SEAU,OPTUS,https://www.optus.com.au/shop/mobile/phones/iphone/iphone-11,lo11_pro_128gb,sp_1,Y,,,,Y,"//*[@id=""main""]/div[1]/div/div[1]/div[2]/div[1]/div/div/a[2],//*[@id=""main""]/div[1]/div/div[1]/div[2]/div[2]/div[2]/div/a[2]","model, color, capacity, plan month 선택 / data plan이 마우스 드래그로 슬라이드를 넘겨야 다 보임….. 안되면 default 화면만"
46,SEAU,OPTUS,https://www.optus.com.au/shop/mobile/phones/iphone/iphone-11,lo11_pro_256gb,sp_1,Y,,,,Y,"//*[@id=""main""]/div[1]/div/div[1]/div[2]/div[1]/div/div/a[2],//*[@id=""main""]/div[1]/div/div[1]/div[2]/div[2]/div[2]/div/a[3]","model, color, capacity, plan month 선택 / data plan이 마우스 드래그로 슬라이드를 넘겨야 다 보임….. 안되면 default 화면만"
47,SEAU,OPTUS,https://www.optus.com.au/shop/mobile/phones/iphone/iphone-11,lo11_pro_max_64gb,sp_1,Y,,,,Y,"//*[@id=""main""]/div[1]/div/div[1]/div[2]/div[1]/div/div/a[3],//*[@id=""main""]/div[1]/div/div[1]/div[2]/div[2]/div[2]/div/a[1]","model, color, capacity, plan month 선택 / data plan이 마우스 드래그로 슬라이드를 넘겨야 다 보임….. 안되면 default 화면만"
48,SEAU,OPTUS,https://www.optus.com.au/shop/mobile/phones/iphone/iphone-11,lo11_pro_max_128gb,sp_1,Y,,,,Y,"//*[@id=""main""]/div[1]/div/div[1]/div[2]/div[1]/div/div/a[3],//*[@id=""main""]/div[1]/div/div[1]/div[2]/div[2]/div[2]/div/a[2]","model, color, capacity, plan month 선택 / data plan이 마우스 드래그로 슬라이드를 넘겨야 다 보임….. 안되면 default 화면만"
49,SEAU,OPTUS,https://www.optus.com.au/shop/mobile/phones/iphone/iphone-11,lo11_pro_max_256gb,sp_1,Y,,,,Y,"//*[@id=""main""]/div[1]/div/div[1]/div[2]/div[1]/div/div/a[3],//*[@id=""main""]/div[1]/div/div[1]/div[2]/div[2]/div[2]/div/a[3]","model, color, capacity, plan month 선택 / data plan이 마우스 드래그로 슬라이드를 넘겨야 다 보임….. 안되면 default 화면만"
50,SEAU,VODAFONE AU,https://www.vodafone.com.au/,,mp,Y,,,,,,
51,SEAU,VODAFONE AU,https://www.vodafone.com.au/mobile-phones,,sp_2,Y,,,,,,
